case,file,bond,S0,r_T,lambda,Rrec,price,d1,d2,d3,d4,beta0,beta1,beta2,beta3,beta4,beta5,sum_d
heston_lambda_libero,mstr_panel_heston_params_default_fixed.json,2029,292.03,0.035207332581213974,0.035,0.0,92.83891566084736,0.079071044921875,0.8482666015625,0.028411865234375,0.04425048828125,0.9454956317382847,-37.13718168792295,7.9004554583339015,-19.797328797162344,3.808169857767358,43.54123575769224,1.0
heston_lambda_libero,mstr_panel_heston_params_default_fixed.json,2029,292.03,0.035207332581213974,0.035,0.15,93.57300884725075,0.079071044921875,0.838134765625,0.030426025390625,0.0523681640625,1.0121454953893667,-36.363232488097466,7.795796316381136,-19.373322585428184,3.7266088650719635,43.218721039673476,1.0
heston_lambda_libero,mstr_panel_heston_params_default_fixed.json,2029,292.03,0.035207332581213974,0.035,0.3,94.31331885780058,0.079071044921875,0.82708740234375,0.03240966796875,0.061431884765625,1.0787953590395907,-35.5892832882763,7.691137174428626,-18.94931637369398,3.645047872376583,42.896206321653224,1.0
heston_lambda_libero,mstr_panel_heston_params_default_fixed.json,2030B,292.03,0.0353986664001269,0.035,0.0,99.3857981087996,0.1715087890625,0.6710205078125,0.07122802734375,0.08624267578125,-1.0503810721356677,-81.91954850389973,15.933148408101644,-16.024598778049437,3.3464824014307917,75.26634564153973,1.0
heston_lambda_libero,mstr_panel_heston_params_default_fixed.json,2030B,292.03,0.0353986664001269,0.035,0.15,99.9280237754061,0.1715087890625,0.6524658203125,0.076507568359375,0.099517822265625,-0.9075512080676208,-79.8338858731493,15.61201184154578,-15.28954337914522,3.201660407543348,74.0853794925298,1.0
heston_lambda_libero,mstr_panel_heston_params_default_fixed.json,2030B,292.03,0.0353986664001269,0.035,0.3,100.48503327048124,0.1715087890625,0.630462646484375,0.082855224609375,0.11517333984375,-0.7647213440001972,-77.74822324240304,15.290875274990285,-14.554487980243014,3.056838413656134,72.90441334352003,1.0
heston_lambda_fisso,mstr_panel_heston_params_default.json,2029,292.03,0.035207332581213974,0.020239139345660646,0.0,94.8508205949542,0.07855224609375,0.820709228515625,0.03271484375,0.068023681640625,1.4704460501413705,-29.612918612587727,6.723226206468482,-28.79349536529021,5.6802454625945185,39.57257965773873,1.0
heston_lambda_fisso,mstr_panel_heston_params_default.json,2029,292.03,0.035207332581213974,0.020239139345660646,0.15,95.2900727741137,0.07855224609375,0.812896728515625,0.03424072265625,0.074310302734375,1.5069283279777275,-29.198265717657346,6.668263745090798,-28.454976115716352,5.614691971136002,39.40502941670727,1.0
heston_lambda_fisso,mstr_panel_heston_params_default.json,2029,292.03,0.035207332581213974,0.020239139345660646,0.3,95.73206651522644,0.07855224609375,0.805023193359375,0.03533935546875,0.081085205078125,1.543410605813918,-28.783612822727832,6.613301283713167,-28.116456866142336,5.549138479677486,39.237479175675574,1.0
heston_lambda_fisso,mstr_panel_heston_params_default.json,2030B,292.03,0.0353986664001269,0.020239139345660646,0.0,101.14411947672532,0.17816162109375,0.6177978515625,0.086273193359375,0.117767333984375,-0.4608590514253136,-74.65848877042811,14.726993033420833,-37.53206538257689,7.567195560337624,71.7393684231319,1.0
heston_lambda_fisso,mstr_panel_heston_params_default.json,2030B,292.03,0.0353986664001269,0.020239139345660646,0.15,101.47924025840703,0.17816162109375,0.603851318359375,0.0897216796875,0.128265380859375,-0.3806458848667594,-73.47383007310242,14.545878699925147,-36.76682295324521,7.416576180722805,71.06278673090803,1.0
heston_lambda_fisso,mstr_panel_heston_params_default.json,2030B,292.03,0.0353986664001269,0.020239139345660646,0.3,101.82081716468372,0.17816162109375,0.590362548828125,0.0927734375,0.138702392578125,-0.3004327183083493,-72.28917137577761,14.364764366429519,-36.00158052391557,7.265956801108304,70.38620503868403,1.0
